aspect,id,sentiment,target,text
general,2.0,Positive,LOCATION1,"If I were you , I 'd look into LOCATION1"
safety,7.0,Positive,LOCATION1,I live in LOCATION1 and have had no problems in the 10 years I have been here
general,9.0,Positive,LOCATION1,For nice safe-but-trendy places I 'd recommend around LOCATION1
safety,9.0,Positive,LOCATION1,For nice safe-but-trendy places I 'd recommend around LOCATION1
general,10.0,Negative,LOCATION1,"LOCATION1 which is a bit of a dump , does n't reflect LOCATION2 at all"
general,10.0,Negative,LOCATION1,"LOCATION1 which is a bit of a dump , does n't reflect LOCATION2 at all"
price,11.0,Negative,LOCATION1,"If you live in the London , e g zone 1 ( LOCATION1 ) its expensive"
general,14.0,Positive,LOCATION1,Try LOCATION1
safety,15.0,Positive,LOCATION1,places like LOCATION1 are very well off and there are lower levels of crime here as a result You ca n't really pick areas of London that are 'safe ' all the time
price,15.0,Negative,LOCATION1,places like LOCATION1 are very well off and there are lower levels of crime here as a result You ca n't really pick areas of London that are 'safe ' all the time
safety,17.0,Positive,LOCATION1,"I walked down the streets in LOCATION1 around 2-3 AM , drunk , and had no problems whatsoever"
general,19.0,Positive,LOCATION1,LOCATION1 is really lovely and has enough pubs/restaurants/shops to keep you going
general,21.0,Positive,LOCATION1,"streets around LOCATION1 ) are OK , too"
quiet,23.0,Positive,LOCATION1,"And yes , LOCATION1 is a quiet LOCATION1 suburb but it has restaurants , pubs etc"
general,24.0,Negative,LOCATION1,"If you are poor , you might live in LOCATION1"
price,26.0,Negative,LOCATION1,LOCATION1 is quite expensive and as you hint at in your question has several parts -
general,27.0,Positive,LOCATION1,LOCATION1 I fooking love it : )
price,29.0,Negative,LOCATION1,"LOCATION1 obviously , unless you enjoy commuting Anywhere nice in London is at least 250pw for a 1 bed flat plus bills"
transit-location,29.0,Positive,LOCATION1,"LOCATION1 obviously , unless you enjoy commuting Anywhere nice in London is at least 250pw for a 1 bed flat plus bills"
general,30.0,Positive,LOCATION1,i live LOCATION1 sw too but id say head north- barfly is good as is most of Camden Town- try all up there
general,32.0,Negative,LOCATION1,"T LOCATION1 is not regarded as a very fashionable area , which keeps the property affordable"
price,32.0,Positive,LOCATION1,"T LOCATION1 is not regarded as a very fashionable area , which keeps the property affordable"
shopping,32.0,Positive,LOCATION1,"T LOCATION1 is not regarded as a very fashionable area , which keeps the property affordable"
dining,32.0,Negative,LOCATION1,"T LOCATION1 is not regarded as a very fashionable area , which keeps the property affordable"
transit-location,34.0,Positive,LOCATION1,Somewhere like LOCATION1 ( particularly south ) is very good value for money in central London
